dir,ccr_url
bytes.usc.edu_cs103_fa25,https://collegeclassreviews.com/universities/university-of-southern-california/courses/csci103
bytes.usc.edu_ee109,https://collegeclassreviews.com/universities/university-of-southern-california/courses/ee109
compas.cs.stonybrook.edu_sp17_cse506,https://collegeclassreviews.com/universities/stony-brook-university/courses/cse506
cs.princeton.edu_fall25_cos226,https://collegeclassreviews.com/universities/princeton-university/courses/cos226
cs.unc.edu_comp550,https://collegeclassreviews.com/universities/university-of-north-carolina-at-chapel-hill/courses/comp550
cs.utexas.edu_CS376_Computer_Vision,https://collegeclassreviews.com/universities/university-of-texas-at-austin/courses/cs376
cs107.stanford.edu,https://collegeclassreviews.com/universities/stanford-university/courses/cs107
cs155.stanford.edu,https://collegeclassreviews.com/universities/stanford-university/courses/cs155
cse.buffalo.edu_CSE442,https://collegeclassreviews.com/universities/university-at-buffalo/courses/cse-442
cse.msu.edu_CSE-404-Fall24,https://collegeclassreviews.com/universities/michigan-state-university/courses/cse404
cseweb.ucsd.edu_cse167_fa21,https://collegeclassreviews.com/universities/uc-san-diego/courses/cse167
cseweb.ucsd.edu_cse167_wi25,https://collegeclassreviews.com/universities/uc-san-diego/courses/cse167
cseweb.ucsd.edu_sp13_cse135-a,https://collegeclassreviews.com/universities/uc-san-diego/courses/cse135
cseweb.ucsd.edu_sp13_cse135-a_cse135,https://collegeclassreviews.com/universities/uc-san-diego/courses/cse135
ece552.ece.wisc.edu_video.shtml,https://collegeclassreviews.com/universities/university-of-wisconsin-madison/courses/ece552
people.eecs.berkeley.edu_cs162,https://collegeclassreviews.com/universities/uc-berkeley/courses/cs162
rose-hulman.edu_csse371_371-372-0809,https://collegeclassreviews.com/universities/rose-hulman-institute-of-technology/courses/csse371
student.cs.uwaterloo.ca_cs135,https://collegeclassreviews.com/universities/university-of-waterloo/courses/cs135
terrano.ucsd.edu_mae40_w19,https://collegeclassreviews.com/universities/uc-san-diego/courses/mae40
web.cs.ucdavis.edu_ecs170,https://collegeclassreviews.com/universities/uc-davis/courses/ecs170
web.stanford.edu_cs107_cs107.1238_1,https://collegeclassreviews.com/universities/stanford-university/courses/cs107
web.stanford.edu_cs107_cs107.1248_1,https://collegeclassreviews.com/universities/stanford-university/courses/cs107
www2.cs.uh.edu_cosc2430,https://collegeclassreviews.com/universities/university-of-houston/courses/cosc2430
